Reference, Quantity, Value, Footprint, Datasheet, Description, MFN, MFP, S1PL, S1PN
C1 C3 C4 C13 C17 C21 ,6,"10u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X5R 0805 10%","Samsung Electro-Mechanics ","CL21A106KOQNNNG ","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A106KOQNNNG?qs=hqM3L16%252BxlcMWI7QbqH0LA%3D%3D"," 187-CL21A106KOQNNNG "
C12 ,1,"22n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/445/885012207094-1727634.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V WCAP-CSGP 0.022uF 0805 10% MLCC ","Wurth Elektronik ","885012207094 ","https://www.mouser.com/ProductDetail/Wurth-Elektronik/885012207094?qs=0KOYDY2FL2868KFEJBLp3w%3D%3D"," 710-885012207094 "
C14 ,1,"22u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 22uF X5R 10% 0805","Samsung Electro-Mechanics ","CL21A226KQCLRNC","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21A226KQCLRNC?qs=xZ%2FP%252Ba9zWqYG0ePGTF%2FymQ%3D%3D"," 187-CL21A226KQCLRNC "
C2 C5 C6 C7 C11 C15 C16 C18 C19 C20 C24 C27 C28 C29 C32 C33 C34 C35 C36 C37 C38 ,21,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/40/X7RDielectric-777024.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 10%TOL","AVX ","08055C104KAT2A ","https://www.mouser.com/ProductDetail/AVX/08055C104KAT2A?qs=2ujN4bDBNE9mJvapP%252BjopA%3D%3D"," 581-08055C104K "
C22 C23 C26 ,3,"220n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 220nF X7R 10% 0805","Samsung Electro-Mechanics ","CL21B224KAFNNNE ","https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B224KAFNNNE?qs=349EhDEZ59pKL14yZNNAGg%3D%3D"," 187-CL21B224KAFNNNE "
C25 ,1,"100u","Capacitor_SMD:CP_Elec_8x10","https://www.mouser.com/datasheet/2/231/151002386372-1222327.pdf","Aluminum Electrolytic Capacitors - SMD 100uF 25 Volts 20% ","Lelon ","VZL101M1ETR-0607","https://www.mouser.com/ProductDetail/Lelon/VZL101M1ETR-0607?qs=sGAEpiMZZMvwFf0viD3Y3fHxNcSaiftwRLyonH7HETJQSk%2FDESmwTg%3D%3D"," 140-VZL101M1ETR-0607 "
C30 C31 ,2,"1n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/445/885012207060-1727713.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V WCAP-CSGP 1000pF X7R 0805 10%  MLCC","Wurth Elektronik ","885012207060 ","https://www.mouser.com/ProductDetail/Wurth-Elektronik/885012207060?qs=0KOYDY2FL2%252BYUmSrx5mMUA%3D%3D"," 710-885012207060 "
C8 ,1,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/datasheet/2/40/X7RDielectric-777024.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0805 10%TOL","AVX ","08055C104KAT2A ","https://www.mouser.com/ProductDetail/AVX/08055C104KAT2A?qs=2ujN4bDBNE9mJvapP%252BjopA%3D%3D"," 581-08055C104K "
C9 C10 ,2,"18p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.com/datasheet/2/212/KEM_C1007_X8R_ULTRA_150C_SMD-1102703.pdf","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 18pF X8R 0805 10% ","KEMET ","C0805C180K5HACTU ","https://www.mouser.com/ProductDetail/KEMET/C0805C180K5HACTU?qs=W0yvOO0ixfF9BHX%2Fb%2Fp2DA=="," 80-C0805C180K5HACTU "
D1 D2 D3 D12 ,4,"MBR0520LT1G ","Diode_SMD:D_SOD-123","https://www.mouser.com/datasheet/2/308/MBR0520LT1_D-1810808.pdf","Schottky Diodes & Rectifiers 0.5A 20V ","ON Semiconductor ","MBR0520LT1G ","https://www.mouser.com/ProductDetail/ON-Semiconductor/MBR0520LT1G?qs=3JMERSakebqBWTiPUQp0nw%3D%3D"," 863-MBR0520LT1G "
